Comments,Sentiment
no ningún comentario sugerencia ya todo total agrado,"AnalyzerOutput(output=NEU, probas={NEU: 0.818, NEG: 0.148, POS: 0.034})"
gustó tuve oportunidad aprender muchas cosas nuevas relación carrera ramas derecho tratar interesantes y jefe muy comprensivo poca experiencia campo laboral embargo abogadas engardas no siempre mostraron buenos tratos paciencia hacia,"AnalyzerOutput(output=NEU, probas={NEU: 0.579, NEG: 0.366, POS: 0.055})"
depende mucho area asignen,"AnalyzerOutput(output=NEU, probas={NEU: 0.861, POS: 0.080, NEG: 0.059})"
una excelente organización desarrollar ámbito profesional embargo una lástima tuviera buscarlo lado ya departamento deficiente área vinculación,"AnalyzerOutput(output=NEG, probas={NEG: 0.934, NEU: 0.058, POS: 0.008})"
muy buena organización hacer practicas todas personas trabajan ahi siempre enseñan y titular notaria igualmente preocupada practicantes y enseña igual,"AnalyzerOutput(output=POS, probas={POS: 0.900, NEU: 0.093, NEG: 0.006})"
personas sat trataron excelente un excelente ambiente trabajo y cada duda tuve resolvieron,"AnalyzerOutput(output=POS, probas={POS: 0.961, NEU: 0.036, NEG: 0.004})"
muy contenta y aprendí muchas cosas nuevas relacionadas carrera,"AnalyzerOutput(output=POS, probas={POS: 0.967, NEU: 0.030, NEG: 0.003})"
parte sindicatura unidad gestoria actividades,"AnalyzerOutput(output=NEU, probas={NEU: 0.783, POS: 0.129, NEG: 0.088})"
muy grata estancia dentro organización pude aplicar conocimientos adquirí largo carrera además aprender nuevas cosas utilidad vida profesional,"AnalyzerOutput(output=POS, probas={POS: 0.964, NEU: 0.033, NEG: 0.004})"
gustó mucho trabajar equipo embargo costó trabajo encontrarle estructura y organización proyecto considero uno factores determinó coordinadora proyecto pesar una gran persona involucrada y muchos proyectos dificulta estructura proyecto,"AnalyzerOutput(output=NEG, probas={NEG: 0.569, NEU: 0.373, POS: 0.058})"
gustó mucho colaborar organización valoran mucho trabajo y estancia área trabajo,"AnalyzerOutput(output=POS, probas={POS: 0.971, NEU: 0.026, NEG: 0.003})"
agreguen empresas,"AnalyzerOutput(output=NEU, probas={NEU: 0.713, POS: 0.200, NEG: 0.087})"
escenario maravilloso club un gran personal trabajando aprendí muchísimo esperaba expectativas revasaron realidad muy contenta ello,"AnalyzerOutput(output=POS, probas={POS: 0.977, NEU: 0.020, NEG: 0.003})"
aprende mucho personas amables y ambiente agradable,"AnalyzerOutput(output=POS, probas={POS: 0.951, NEU: 0.045, NEG: 0.004})"
área general psicología no buena,"AnalyzerOutput(output=NEU, probas={NEU: 0.504, NEG: 0.475, POS: 0.020})"
equilibren mejor manera número pacientes cada psicólogo,"AnalyzerOutput(output=NEU, probas={NEU: 0.852, POS: 0.077, NEG: 0.070})"
no un proyecto específico psicología,"AnalyzerOutput(output=NEU, probas={NEU: 0.668, NEG: 0.305, POS: 0.027})"
supuso un reto personal no tener un plan concreto trabajo organización prácticas psicología gracias ello y apoyo desarrollé autonomía desarrollo implementación programas y actividades profesional y no estudiante siguiendo un plan trabajo,"AnalyzerOutput(output=NEG, probas={NEG: 0.646, NEU: 0.336, POS: 0.019})"
un buen lugar aprendes y capacitan,"AnalyzerOutput(output=POS, probas={POS: 0.956, NEU: 0.040, NEG: 0.004})"
ambiente trabajo muy bueno jefes y compañeros apoyaron mucho y facilitaban actividades centro,"AnalyzerOutput(output=POS, probas={POS: 0.976, NEU: 0.021, NEG: 0.003})"
duda colegio americano partes importantes tiempo universidad largo cuatro años tomado clases maestros no cumplen expectativas y un nivel educación dejado muy insatisfecha prácticas un maravilloso cambio ofreciéndome aprendizajes adquirido semestres y permitieron primera vez poner práctica aprendiendo abrió ojos hacía mundo real ayudando prepararme vida después graduación colegio americano siempre atento necesidades empleados y practicantes y dispuestos proporcionar asistencia no solo hacen pide sino van allá cumplir forma satisfactoria brindando mejores resultados consejería equipada mejores materiales y consejeros extremadamente competentes y preparados departamento primaria sobresale constantemente demostrando cumplen espera y mucho ambiente permitió adquiriera nuevos aprendizajes todos días y momento empecé hicieron sentir bienvenida y parte comunidad,"AnalyzerOutput(output=NEU, probas={NEU: 0.592, POS: 0.349, NEG: 0.059})"
si aprendes parte ya psicóloga ahí no sabe mucho acerca varios temas entonces investigar todo parte informarte si aprendí muchísimo parte y esfuerzo único enseñó aplicar pruebas y calificarlas,"AnalyzerOutput(output=NEU, probas={NEU: 0.580, POS: 0.399, NEG: 0.022})"
informar reglas principio dar una lista actividades va realizar y cumplan apertura hacia practicantes ya no gustaba participáramos no tomaban serio,"AnalyzerOutput(output=NEG, probas={NEG: 0.508, NEU: 0.477, POS: 0.014})"
una muy buena organización apoyan mucho y personal muy amable,"AnalyzerOutput(output=POS, probas={POS: 0.979, NEU: 0.018, NEG: 0.003})"
prácticas no aprendí relevante ayudará profesionalmente un futuro actividades realice no prepararon suficiente ambiente excelente lamentablemente actividades realice no una preparación profesional gustado,"AnalyzerOutput(output=NEG, probas={NEG: 0.899, NEU: 0.095, POS: 0.006})"
creo área psicologia buena embargo parte organizacional encuentra problemas constantes cambios reglamentos sentido propician un clima trabajo hostil y dificulta actividades realizadas dentro clinica si bien experiencia no mala tuve varias experiencias dejan insatisfecha manera profesional creo organización deberia tomar mas seriedad practicantes,"AnalyzerOutput(output=NEG, probas={NEG: 0.879, NEU: 0.115, POS: 0.006})"
agrado hacer aquí prácticas asesor siempre pendiente exigirme,"AnalyzerOutput(output=POS, probas={POS: 0.602, NEU: 0.382, NEG: 0.016})"
nada,"AnalyzerOutput(output=NEU, probas={NEU: 0.504, NEG: 0.305, POS: 0.192})"
una organización bonita dejan mezclarte fondo ambiente y parece bastante valioso,"AnalyzerOutput(output=POS, probas={POS: 0.972, NEU: 0.024, NEG: 0.004})"
área clínica rehabilitación adicciones puede proporcionar buenas oportunidades aprendizaje psicólogos muy abiertos enseñar responder todas dudas y todo amigables y respetuosos lado coordinador área psicología edward fisher egresado udlap causo muchas ocasiones sentirme incomoda comentarios y acciones hacia lugar y totalmente no profesionales punto llorar y no querer regresar realmente voy un gran disgusto impotencia y enojo primera experiencia laboral solo ya un inicio comenzó siguientes comentarios y acciones aumentando nivel cada vez una vez agarro muñeca permiso y hizo constantemente quedaba viendo fijamente cara preguntándome cada una facciones y múltiples veces hizo varias veces recibí comentario hacia practicas o trabajaba si todos modos yo casare y mantendrán o terminare ama casa lavando ropa múltiples veces veía ponía mano cara diciéndome besara semanalmente recibí comentarios parte criticando granos cara asigno proyecto hacer una carpeta paciente dijo ya hecho practicante anterior igual udlap refirió una niña chichona haciendo énfasis tamaño brazos pecho una vez comente disfrazaría avatar halloween y respondió si iba andar ahí traje baño casi siempre recibí comentarios una floja o huevona incluso hacia actividades decía o solo algún psicólogo aproximadamente un mes fecha salida comenzó preguntar y meter presión tenia apurar ya horas terminar comencé darme cuenta ya no agradaba ahí ya luego asignaba actividades minutos empezar llegaba y apuraba diciéndome ya tarde mucho o hace dos minutos literal apenas asignado aumentaron comentarios una floja o huevona casi diario o hacia señas pasaba manos dando referencia floja aun haciendo pedía y metía presión tenia apurar igualmente regaño calificando unas pruebas psicólogo pedido cosa dentro actividades clínica y regaño diciéndome pedía tenia hacerlo preguntadome si coordinador si da ordenes y si pondrá calificación yo tuve responder él cada una y si demás urgía hicieran si yo trabaje haría caso un compañero o pagara suelto pondrá calificación o puede descontar jamas vi correcto regañara hacer actividades si correspondían y asigno un inicio posteriormente ya termine prueba pedido aplicar solo preguntaba si divertido o si gusto prueba forzosamente conteste si y solo respondió importante ahí yo divirtiera totalmente cínico parte decirme después regaños y comentarios insultantes diarios ya últimas dos semanas una día sentado escritorio y practicantes un cajón asignado escritorio entonces yo agache sacar cosas y momento puso mano cabeza quede pasmada y habla jamas hecho sentir alguien incomoda y mal aun pienso mucho repudio impotencia igualmente apenas semana pasada psicóloga iba trabajar pidió esperarla encontraba y fisher un lado entonces psicóloga señalo dedo haciendo un sonido tshhhh y dijo sit y rio igual manera hace un perro siente cada una situaciones hicieron sentir incomoda impotente saber hacer o decir coraje intentos vagos quererme defender muy fácil decir encuentres una situación disgusto defenderás realmente nunca vivido ahora y quedarme palabras y totalmente estupefacta situaciones predomino realmente deseo y espero estudiante no viva coordinador siempre un peligro abuso y si mujer no primera vez quejan organización ya múltiples testimonios y abuso comentar todo psicólogos clínica hizo enterarme no primera y no última estudiante nadie prepara enfrentar tipo situaciones y nadie merece vivirlas favor hagan respecto,"AnalyzerOutput(output=NEU, probas={NEU: 0.531, NEG: 0.447, POS: 0.022})"
supervisora siempre viajando motivos trabajo y dificulta prácticas,"AnalyzerOutput(output=NEG, probas={NEG: 0.875, NEU: 0.121, POS: 0.004})"
ninguna,"AnalyzerOutput(output=NEU, probas={NEU: 0.498, NEG: 0.327, POS: 0.175})"
única sugerencia esquemática asignen áreas no llenas practicantes pues reduce nivel un puede integrar ciertas actividades,"AnalyzerOutput(output=NEU, probas={NEU: 0.851, NEG: 0.113, POS: 0.037})"
actividades respetaron parte contrato aunque solo limitaron parte registro base datos y hacer ediciones momentos atención público muy limitadas primer supervisor,"AnalyzerOutput(output=NEU, probas={NEU: 0.610, NEG: 0.366, POS: 0.024})"
considero bmw group una buena empresa embargo pequeños detalles empresa no gustaron ejemplo hecho muy conservadores,"AnalyzerOutput(output=POS, probas={POS: 0.630, NEU: 0.287, NEG: 0.082})"
encantó ambiente y contribuyó mucho formación laboral dio seguridad hablar gente y hizo aprender un tema interesó mucho,"AnalyzerOutput(output=POS, probas={POS: 0.966, NEU: 0.029, NEG: 0.005})"
secretaría gigante tuve mala suerte quedar una dirección general muy desorganizada y transición dgvosc experiencia no buena aburrí mucho nunca tuve mucho hacer embargo octubre trabajar formalmente subsecretaría américa latina y caribe y totalmente diferente y muy contenta,"AnalyzerOutput(output=NEG, probas={NEG: 0.789, NEU: 0.200, POS: 0.010})"
falta presupuesto y material varios casos un problema realizar actividades adecuadamente,"AnalyzerOutput(output=NEG, probas={NEG: 0.955, NEU: 0.041, POS: 0.005})"
una experiencia diferente interesante ya convivencia estudiantes diferentes licenciaturas y moderadores profesionales y altamente especializados oportunidades generar soluciones puntuales problemas complejos entorno inmediato amplió bastante perspectiva límites y capacidades toma decisiones,"AnalyzerOutput(output=POS, probas={POS: 0.844, NEU: 0.148, NEG: 0.008})"
aprendido bastante prácticas parecer muy complementarias visualizado licenciatura,"AnalyzerOutput(output=POS, probas={POS: 0.799, NEU: 0.188, NEG: 0.013})"
puse no brindó beneficios puesto no acordamos algún tipo beneficio decir no incumplieron parte gusto apliqué conocimientos aprendí carrera prácticas así aprendí hacer cosas no hacía hace realista puesto trabajos expectativas decir aprender nuevas cosas y aplicar conocimiento previamente aprendido puse capacitó parcialmente y bueno puesto importante aprender manera autodidacta y si una duda preguntarle alguien conocimientos,"AnalyzerOutput(output=NEU, probas={NEU: 0.864, POS: 0.079, NEG: 0.057})"
desafiante y aprendi cosas muy diferentes sabi,"AnalyzerOutput(output=NEU, probas={NEU: 0.579, POS: 0.368, NEG: 0.052})"
recibí una oferta informal un trabajo permanente aún no nada seguro,"AnalyzerOutput(output=NEU, probas={NEU: 0.514, NEG: 0.474, POS: 0.013})"
una organización excelente,"AnalyzerOutput(output=POS, probas={POS: 0.970, NEU: 0.026, NEG: 0.003})"
tal vez buena idea organización revisara plan estudios licenciatura practicantes propusieran proyectos acorde y empresa tuviera un mejor aprovechamiento conocimientos practicantes,"AnalyzerOutput(output=POS, probas={POS: 0.493, NEU: 0.467, NEG: 0.040})"
trabaje bien embargo ambiente trabaja un inseguro ya robaron pertenencias mochilalaptop dentro instalaciones hacia practicas y pesar cámaras no funcionaban seguridad dio mucho hablar,"AnalyzerOutput(output=NEG, probas={NEG: 0.918, NEU: 0.074, POS: 0.008})"
desarrollé bastante habilidades programación y habilidades finanzas muy buena empresa,"AnalyzerOutput(output=POS, probas={POS: 0.968, NEU: 0.028, NEG: 0.003})"
una gran experiencia formar parte proyecto,"AnalyzerOutput(output=POS, probas={POS: 0.973, NEU: 0.024, NEG: 0.003})"
no,"AnalyzerOutput(output=NEU, probas={NEU: 0.494, NEG: 0.348, POS: 0.158})"
un gran instituto investigación,"AnalyzerOutput(output=POS, probas={POS: 0.950, NEU: 0.046, NEG: 0.005})"
no,"AnalyzerOutput(output=NEU, probas={NEU: 0.494, NEG: 0.348, POS: 0.158})"
muy buena experiencia,"AnalyzerOutput(output=POS, probas={POS: 0.972, NEU: 0.025, NEG: 0.003})"
voy satisfecha aprendí alina nutrisport tuvimos malos entendido final pude hablar alina y llegamos un acuerdo favoreció quitaron miedos inseguridades tenia inicio trate sacar trabajos adelante aunque inicio si costaba después mejore y fui desenvolviendo largo practicas trato alina hacia practicantes muy bueno hace ver errores poder mejorar y acercas decirles dudas trata resolverlos conclusión trato dio alina muy bueno y contenta aprendí practicas profesión i,"AnalyzerOutput(output=POS, probas={POS: 0.725, NEU: 0.261, NEG: 0.014})"
organización buena enseñando casi todos jefes duda hacían muy bien trabajo enseñanza capacitarte parte gustado mas exigencia respecto conocimientos si yo no especifico y fundamental desarrollo ayudar y algún modo presionar practicantes estudiar o pulir conocimientos fallan ya veces creemos no importantes,"AnalyzerOutput(output=NEU, probas={NEU: 0.595, POS: 0.287, NEG: 0.118})"
parece necesario diseñar actividades practicantes farmacia debido etiquetar medicamentos y empaquetarlos no brinda ningún aprendizaje o pone prueba conocimiento adquirido parece requerirá desarrollar nuevas actividades además conciliación y etiquetado medicamentos ya farmacia hospitalaria puede sacar mucho provecho,"AnalyzerOutput(output=NEU, probas={NEU: 0.523, NEG: 0.452, POS: 0.025})"
diseñen actividades practicantes farmacia ya etiquetar medicamentos no pone prueba conocimientos no enseña ninguna habilidad nueva pone prueba conocimiento adquirido universidad aunque sabemos necesario gustaría no tener hacerlo todo tiempo y aprender nuevo,"AnalyzerOutput(output=NEG, probas={NEG: 0.516, NEU: 0.459, POS: 0.025})"
un semestre muy dificil y muchas situaciones prácticas hicieron sentir mal nunca buena comunicación compañeros y supervisor cierto rechazo hacia alumnos escuelas privadas disponibilidad horario nunca respetó llegando citarme pm disponibilidad situación sorprendió responsable elegì prácticas siempre sacaba conclusiones y observaciones negativas yo preguntaba cosas solo sabía fui relegado cumplir actividades bajo rosario sánchez primeras semanas debiò instruirme hizo años tomó cerca meses iniciar trabajo conmigo no culpo rosario situación ya recta final maestría y yo no factor importante culminar estudios últimas semanas no ido practicas no material necesario cultivo celular tampoco usar equipos estan laboratorio ya única capacitada hacerlo rosario sánchez cabe destacar tuve iniciativa muchas ocasiones llegaba plan trabajo y laboratorio yo encontraba cerrado inasistencia todos miembros quiero mencionar intención hacer ambas partes practicas laboratorio sano solo completar primera parte ya cumplí horas y necesito tener menos una experiencia positiva ambito laboral doctora fabiola dominguez cambios muy radicales frente alumnos ausencia pido advertir futuros estudiantes puedan presentar interés laboratorio no cumple actividades colegas hacen gusto tal presentación investigadores actividades realizar aclaración dudas y siempre recordaré calidad humana hacia personas bajo dirección trato hacia siempre varible y últimas semanas cortante y profesional,"AnalyzerOutput(output=NEG, probas={NEG: 0.737, NEU: 0.253, POS: 0.010})"
cinvestav unidad querétaro una buena oportunidad aprender y realizar prácticas profesionales o un futuro algún posgrado además cinvestav una organización reconocida país y extranjero específicamente unidad querétaro actualmente pasando un momento difícil recortes presupuesto ocasiones difícil avanzar adecuadamente,"AnalyzerOutput(output=NEU, probas={NEU: 0.697, NEG: 0.229, POS: 0.075})"
ambiente trabajo muy bueno y químicas constantemente brindaron información aprendiera cosas nuevas además siempre dieron oportunidad aplicar conocimientos adquiridos universidad y empresa aumentar capacidad aprendizaje,"AnalyzerOutput(output=POS, probas={POS: 0.958, NEU: 0.038, NEG: 0.004})"
verdad un ambiente extraño jefe directo enseñó muchas cosas y aprendí mucho él conflictos director actividades encomendaban casi siempre sentían un no digan no hacen nada o así no desarrollarnos y aprender,"AnalyzerOutput(output=NEG, probas={NEG: 0.869, NEU: 0.119, POS: 0.012})"
muy buena supervisión y seguimiento actividades apoyaron y dieron retroalimentación todo momento,"AnalyzerOutput(output=POS, probas={POS: 0.956, NEU: 0.040, NEG: 0.005})"
una gran empresa comoda realizacion practicas,"AnalyzerOutput(output=POS, probas={POS: 0.798, NEU: 0.195, NEG: 0.007})"
bueno algún tipo remuneración económica,"AnalyzerOutput(output=NEU, probas={NEU: 0.939, NEG: 0.032, POS: 0.029})"
situación económica actual empresa no muy buena debido asuntos externos problemas económicos y gubernamentales pais ello no contratando momento pues no mismas licitaciones tenia sexenio pasado,"AnalyzerOutput(output=NEG, probas={NEG: 0.948, NEU: 0.048, POS: 0.004})"
excelente empresa todos ámbitos desarrolla no sólo mejorado y perfeccionado conocimientos aspecto ingenieril sino desarrollado un criterio laborar toma decisiones y mejora soluciones presenten día día,"AnalyzerOutput(output=POS, probas={POS: 0.791, NEU: 0.193, NEG: 0.016})"
empresa cuenta un excelente ambiente trabajo y constantemente estan capacitando todo personal dia y apoya todo momento cualquier duda o problema,"AnalyzerOutput(output=POS, probas={POS: 0.724, NEU: 0.260, NEG: 0.016})"
todo aprendí cuenta y no proyecto o persona,"AnalyzerOutput(output=NEU, probas={NEU: 0.769, POS: 0.144, NEG: 0.087})"
organización muy buen escenario aprender falta organización llegue un lugar verdaderamente aprenda aprendí no debe hacer verdaderamente debería hacerse una empresa alimentos,"AnalyzerOutput(output=NEU, probas={NEU: 0.476, POS: 0.442, NEG: 0.081})"
bajas calificaciones van enfocadas un problema jefe directo empresa siempre manejó muy bien situación y brindó apoyo necesario,"AnalyzerOutput(output=NEG, probas={NEG: 0.854, NEU: 0.133, POS: 0.013})"
primer día sentí muy bienvenido y ambiente siempre motivador único pequeño pondría gustado y ayudado mucho recibir un apoyo económico,"AnalyzerOutput(output=POS, probas={POS: 0.982, NEU: 0.015, NEG: 0.002})"
una excelente opción aprender y desarrollarte,"AnalyzerOutput(output=POS, probas={POS: 0.970, NEU: 0.028, NEG: 0.002})"
un informal cuanto acuerdos iniciales proponen,"AnalyzerOutput(output=NEU, probas={NEU: 0.908, POS: 0.046, NEG: 0.046})"
siento un buen lugar aprender nuevas cosas aunque no veo muy relacionado carrera traté temas trato cliente siento pueden muy útiles un futuro,"AnalyzerOutput(output=POS, probas={POS: 0.958, NEU: 0.039, NEG: 0.003})"
muy libres tiempos trabajo mas importaba proyecto quedara bien y no demasiada carga trabajo,"AnalyzerOutput(output=POS, probas={POS: 0.517, NEU: 0.448, NEG: 0.036})"
mayor parte actividades realizadas compañía soporte desarrollo software un periodo desarrollo prioridad principal cambió conforme situación equipo trabajé,"AnalyzerOutput(output=NEU, probas={NEU: 0.860, POS: 0.081, NEG: 0.059})"
recomendable una remuneración económica parte empresa ya solamente transporte instalaciones representa un gasto mayor aceptable estudiante ayudaría empresa interesara actividades practicantes ya veces no importancia actividades diarias practicantes,"AnalyzerOutput(output=NEU, probas={NEU: 0.840, POS: 0.084, NEG: 0.076})"
todo perfecto,"AnalyzerOutput(output=NEU, probas={NEU: 0.464, POS: 0.450, NEG: 0.086})"
ninguno,"AnalyzerOutput(output=NEU, probas={NEU: 0.498, NEG: 0.298, POS: 0.205})"
una excelente empresa brindo apoyo necesario poder crecer profesional personalmente gustaria recomendarla mas alúmnos universidad pudeiran trabajar aquí,"AnalyzerOutput(output=POS, probas={POS: 0.742, NEU: 0.248, NEG: 0.010})"
comentarios,"AnalyzerOutput(output=NEU, probas={NEU: 0.511, NEG: 0.342, POS: 0.147})"
jefes excelentes y ambiente general,"AnalyzerOutput(output=POS, probas={POS: 0.959, NEU: 0.038, NEG: 0.003})"
faurecia méxico una gran empresa desenvolvimiento profesional duda alguna mejor decisión tomado poder seguir creciendo ingeniero industrial seguí y desarrollé proyectos un gran impacto positivo hacia empresa igual manera participé un concurso interno practicantes quedé segundo lugar nivel nacional conllevó ganar un viaje faurecia deotrit usa recalco compañía ideal increíble poder crecer no solo profesionista sino persona,"AnalyzerOutput(output=POS, probas={POS: 0.892, NEU: 0.101, NEG: 0.007})"
muy buena empresa solo mujeres área producción y calidad ambiente tiende un pesado,"AnalyzerOutput(output=POS, probas={POS: 0.940, NEU: 0.055, NEG: 0.005})"
nunca asignó un proyecto tal embargo pude aplicar conocimientos y recibí capacitación importante espero servirá un futuro,"AnalyzerOutput(output=POS, probas={POS: 0.570, NEU: 0.406, NEG: 0.024})"
general empresa desorganizada y luego muchos practicantes veces no muchas cosas hacer y realidad veces cargaban mas trabajo uno,"AnalyzerOutput(output=NEG, probas={NEG: 0.918, NEU: 0.078, POS: 0.004})"
muy buena empresa recomiendo ampliamente,"AnalyzerOutput(output=POS, probas={POS: 0.974, NEU: 0.023, NEG: 0.003})"
prácticas llevadas tutor y no un doctor general,"AnalyzerOutput(output=NEG, probas={NEG: 0.789, NEU: 0.201, POS: 0.010})"
ambiente trabajo muy bueno y general agradó mucho hacer practicas aquí ya voz escuchada y tomaron cuenta muchos aspectos considero aprendí mucho,"AnalyzerOutput(output=POS, probas={POS: 0.973, NEU: 0.024, NEG: 0.003})"
excelente empresa,"AnalyzerOutput(output=NEU, probas={NEU: 0.445, POS: 0.430, NEG: 0.125})"
podría formalizar un proyecto prácticas tal,"AnalyzerOutput(output=NEU, probas={NEU: 0.832, POS: 0.086, NEG: 0.081})"
tuve finalizar prácticas tiempo establecido,"AnalyzerOutput(output=NEU, probas={NEU: 0.801, NEG: 0.109, POS: 0.090})"
excelente empresa ingenieros impulsan mejores día día aunque veces no bien organizado,"AnalyzerOutput(output=POS, probas={POS: 0.899, NEU: 0.091, NEG: 0.010})"
primer área no tuve apoyo supervisor cuanto negociación horario debido carga materias inscritas o materal necesario parecia no habia lugar un practicante y aun asi asignaron lugar cambio segunda area brindaron material y ayuda requerida mejor desarrollo practicas encuenta encuentro evaluando segunda área casi todo periodo,"AnalyzerOutput(output=NEU, probas={NEU: 0.537, NEG: 0.450, POS: 0.013})"
excelente empresa hacer practicas ya permitieron desenvolverme ambiente laboral y poder aplicar conocimientos,"AnalyzerOutput(output=POS, probas={POS: 0.943, NEU: 0.054, NEG: 0.003})"
bueno apoyaran algún beneficio comedor o remuneración económica aunque mínima,"AnalyzerOutput(output=NEU, probas={NEU: 0.932, NEG: 0.036, POS: 0.032})"
sentí muy comodo empresa realizar tramite validar practicas udlap muy agotador y lleno trabas gustaría pudieran hacer mas fácil,"AnalyzerOutput(output=NEG, probas={NEG: 0.718, NEU: 0.209, POS: 0.073})"
siento muy satisfecha proyecto y organización general debido todos siempre dispuestos compartir conocimiento y experiencia conmigo ambiente laboral muy tranquilo y instalaciones cómodas trabajar,"AnalyzerOutput(output=POS, probas={POS: 0.965, NEU: 0.032, NEG: 0.003})"
nivel trabajando creo yo deberían trabajar comunicación diferentes departamento optimizar proceso desarrollo y montaje proyectos,"AnalyzerOutput(output=NEU, probas={NEU: 0.751, POS: 0.217, NEG: 0.032})"
vincularse empresa,"AnalyzerOutput(output=NEU, probas={NEU: 0.775, POS: 0.183, NEG: 0.041})"
una empresa muy agradable trabajar ya todos ayudan desempeño ademas grandes oportunidades crecer y aprender,"AnalyzerOutput(output=POS, probas={POS: 0.980, NEU: 0.018, NEG: 0.002})"
exelente empresa desarrollo profesional,"AnalyzerOutput(output=POS, probas={POS: 0.943, NEU: 0.051, NEG: 0.006})"
excelente organización,"AnalyzerOutput(output=POS, probas={POS: 0.659, NEU: 0.291, NEG: 0.050})"
una experiencia increíble aprendí muchísimo pesar no encontraba un área muy afin licenciatura,"AnalyzerOutput(output=POS, probas={POS: 0.938, NEU: 0.054, NEG: 0.008})"
